0,-1,0,0,0,0
0,-1,0,0,0,0
8.0647e-05,-0.99963,-0.00042617,7.285e-05,4.3574e-05,-1.6005e-05
0.00024188,-0.99889,-0.0012785,0.00021853,0.00013069,-4.8014e-05
0.00048351,-0.99778,-0.0025576,0.00043741,0.00026125,-9.6021e-05
0.00080523,-0.99631,-0.004265,0.00073025,0.00043509,-0.00016001
0.0012066,-0.99446,-0.0064029,0.0010982,0.000652,-0.00023997
0.0016871,-0.99223,-0.008974,0.0015427,0.00091169,-0.00033588
0.0022461,-0.98964,-0.011982,0.0020658,0.0012138,-0.00044771
0.0028826,-0.98666,-0.015431,0.0026697,0.0015579,-0.00057542
0.0035959,-0.98331,-0.019326,0.0033569,0.0019436,-0.00071897
0.0043849,-0.97958,-0.023673,0.0041304,0.0023703,-0.0008783
0.0052484,-0.97547,-0.028478,0.0049936,0.0028373,-0.0010534
0.0061851,-0.97097,-0.033747,0.0059499,0.0033441,-0.0012441
0.0071936,-0.96607,-0.039489,0.0070032,0.0038899,-0.0014504
0.0082724,-0.96079,-0.045711,0.0081577,0.0044738,-0.0016721
0.0094198,-0.9551,-0.052421,0.0094177,0.0050951,-0.0019093
0.010634,-0.94902,-0.059629,0.010788,0.0057527,-0.0021616
0.011913,-0.94253,-0.067345,0.012273,0.0064458,-0.002429
0.013255,-0.93562,-0.075577,0.013877,0.0071731,-0.0027114
0.014658,-0.9283,-0.084337,0.015607,0.0079336,-0.0030084
0.016119,-0.92056,-0.093634,0.017466,0.0087262,-0.00332
0.017636,-0.9124,-0.10348,0.019459,0.0095494,-0.0036458
0.019207,-0.9038,-0.11388,0.021592,0.010402,-0.0039856
0.020828,-0.89477,-0.12485,0.02387,0.011283,-0.0043391
0.022498,-0.88529,-0.1364,0.026296,0.01219,-0.004706
0.024212,-0.87536,-0.14855,0.028874,0.013122,-0.0050858
0.025969,-0.86498,-0.16129,0.03161,0.014077,-0.0054783
0.027765,-0.85415,-0.17463,0.034505,0.015054,-0.0058829
0.029596,-0.84285,-0.1886,0.037562,0.016051,-0.0062992
0.03146,-0.83107,-0.20319,0.040785,0.017067,-0.0067266
0.033353,-0.81883,-0.21841,0.044172,0.018098,-0.0071647
0.035271,-0.8061,-0.23427,0.047725,0.019144,-0.0076128
0.037211,-0.7929,-0.25077,0.051443,0.020202,-0.0080703
0.039168,-0.7792,-0.26791,0.055323,0.021271,-0.0085366
0.04114,-0.76501,-0.2857,0.059363,0.022348,-0.0090108
0.043122,-0.75033,-0.30413,0.063556,0.023431,-0.0094924
0.04511,-0.73515,-0.3232,0.067897,0.024518,-0.0099804
0.047101,-0.71947,-0.34291,0.072378,0.025607,-0.010474
0.049089,-0.70329,-0.36324,0.076988,0.026696,-0.010973
0.051072,-0.6866,-0.38419,0.081716,0.027783,-0.011475
0.053045,-0.66942,-0.40576,0.086549,0.028864,-0.011981
0.055004,-0.65172,-0.42791,0.09147,0.029938,-0.012489
0.056945,-0.63353,-0.45063,0.096462,0.031004,-0.012998
0.058865,-0.61483,-0.47391,0.10151,0.032058,-0.013508
0.060758,-0.59563,-0.49773,0.10658,0.033098,-0.014018
0.062621,-0.57593,-0.52205,0.11166,0.034122,-0.014526
0.064451,-0.55574,-0.54685,0.11672,0.035129,-0.015031
0.066243,-0.53505,-0.5721,0.12173,0.036115,-0.015534
0.067995,-0.51387,-0.59777,0.12667,0.03708,-0.016033
0.069701,-0.4922,-0.62382,0.1315,0.03802,-0.016527
0.07136,-0.47005,-0.65022,0.13618,0.038935,-0.017016
0.072967,-0.44742,-0.67694,0.1407,0.039821,-0.017498
0.07452,-0.42432,-0.70392,0.145,0.040678,-0.017974
0.076015,-0.40074,-0.73114,0.14905,0.041503,-0.018441
0.077448,-0.37668,-0.75855,0.15282,0.042295,-0.018901
0.078818,-0.35217,-0.7861,0.15626,0.043052,-0.019352
0.080121,-0.32719,-0.81376,0.15934,0.043772,-0.019793
0.081353,-0.30175,-0.84148,0.162,0.044454,-0.020225
0.082513,-0.27585,-0.8692,0.16421,0.045096,-0.020646
0.083597,-0.2495,-0.8969,0.16591,0.045696,-0.021056
0.084603,-0.22269,-0.92451,0.16708,0.046252,-0.021456
0.085527,-0.19543,-0.95199,0.16765,0.046764,-0.021843
0.086367,-0.16772,-0.97928,0.16759,0.047229,-0.022219
0.087119,-0.13957,-1.0064,0.16683,0.047646,-0.022583
0.087782,-0.11097,-1.0331,0.16534,0.048013,-0.022934
0.088351,-0.081921,-1.0596,0.16307,0.048328,-0.023272
0.088823,-0.052433,-1.0857,0.15995,0.048589,-0.023597
0.089196,-0.022504,-1.1113,0.15594,0.048795,-0.023908
0.089466,0.0078638,-1.1364,0.15099,0.048943,-0.024206
0.089629,0.038667,-1.161,0.14504,0.049033,-0.02449
0.089682,0.069903,-1.185,0.13804,0.04906,-0.02476
0.089621,0.10157,-1.2083,0.12993,0.049024,-0.025015
0.089442,0.13365,-1.2308,0.12065,0.048923,-0.025255
0.089141,0.16616,-1.2526,0.11015,0.048753,-0.02548
0.088714,0.19907,-1.2735,0.098382,0.048513,-0.025689
0.088157,0.23238,-1.2935,0.085275,0.0482,-0.025882
0.087465,0.26608,-1.3125,0.070777,0.047811,-0.026058
0.086634,0.30016,-1.3304,0.054832,0.047345,-0.026218
