1,2,0.0833
2,3,0.1179
3,4,0.0833
4,5,0.0833
5,6,0.0833
3,7,0.0833
6,8,0.0833
8,9,0.0833
3,10,0.0833
10,11,0.0833
11,12,0.0833
6,13,0.0833
12,14,0.0833
14,15,0.0833
15,16,0.1179
16,17,0.0833
17,18,0.0833
18,19,0.0833
19,20,0.0833
20,21,0.0833
16,22,0.0833
21,23,0.0833
23,24,0.0833
17,25,0.0833
25,26,0.0833
25,27,0.0833
27,28,0.0833
27,29,0.0833
28,30,0.0833
21,31,0.0833
30,32,0.0833
32,33,0.0833
22,34,0.0833
33,35,0.0833
9,36,0.0833
24,37,0.0833
37,38,0.0833
38,39,0.0833
16,40,0.0833
23,41,0.0833
31,42,0.0833
35,43,0.0833
39,44,0.0833
44,45,0.0833
43,46,0.0833
45,47,0.0833
46,48,0.0833
45,49,0.0833
37,50,0.0833
47,51,0.0833
49,52,0.0833
52,53,0.0833
53,54,0.0833
54,55,0.0833
17,56,0.0833
54,57,0.0833
49,58,0.0833
57,59,0.0833
57,60,0.0833
51,61,0.0833
61,62,0.0833
59,63,0.0833
60,64,0.0833
64,65,0.0833
55,66,0.0833
63,67,0.0833
51,68,0.0833
67,69,0.1179
62,70,0.0833
69,71,0.0833
65,72,0.0833
27,73,0.0833
72,74,0.0833
69,75,0.0833
63,76,0.0833
76,77,0.0833
75,78,0.0833
54,79,0.0833
74,80,0.0833
25,81,0.0833
77,82,0.0833
82,83,0.0833
78,84,0.0833
68,85,0.0833
83,86,0.0833
85,87,0.0833
76,88,0.0833
86,89,0.0833
89,90,0.0833
